page,fold,sheet,chapter,section,module,content_type,cs_code,title,ocr_path,publish_source
087,trifold,087_088,4,module,W,circuit,CS 6 890,CPU + data grabber module W - circuit diagram (EPROM section),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150708Z/Philips-VP415-Service-Manual-hires-300-part3of5-pages073-092.pdf/pages/page-15/markdown.md,A4 trifold/vp415-colour300dpi-fixed_Page_087_088.webp
088,trifold,087_088,4,module,W,circuit,CS 6 890,LV-ROM interface module Wb - circuit diagram,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150708Z/Philips-VP415-Service-Manual-hires-300-part3of5-pages073-092.pdf/pages/page-16/markdown.md,A4 trifold/vp415-colour300dpi-fixed_Page_087_088.webp
089,bifold,089,4,module,W,pcb-layout,CS 8 122,CPU + data grabber module W - PCB lay-out (later revision),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150708Z/Philips-VP415-Service-Manual-hires-300-part3of5-pages073-092.pdf/pages/page-17/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_089.webp
090,bifold,090,4,module,W,pcb-layout,CS 7 858,CPU + data grabber module W - PCB lay-out,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150708Z/Philips-VP415-Service-Manual-hires-300-part3of5-pages073-092.pdf/pages/page-18/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_090.webp
091,trifold,091_092,4,module,X,module-sheet,CS 7 859,LV-ROM decoder module X (mod level 3) - adjustments / PCB / parts,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150708Z/Philips-VP415-Service-Manual-hires-300-part3of5-pages073-092.pdf/pages/page-19/markdown.md,A4 trifold/vp415-colour300dpi-fixed_Page_091_092.webp
092,trifold,091_092,4,module,X,module-sheet,CS 7 859,LV-ROM decoder module X - parts (continued),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150708Z/Philips-VP415-Service-Manual-hires-300-part3of5-pages073-092.pdf/pages/page-20/markdown.md,A4 trifold/vp415-colour300dpi-fixed_Page_091_092.webp
093,bifold,093,4,module,X,circuit,CS 6 891,LV-ROM decoder module X - circuit diagram,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-1/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_093.webp
094,trifold,094_095,4,module,Y,circuit,CS 6 892,Video mixer module Y - circuit diagram (mode switch / buffer+clamp / mixers),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-2/markdown.md,A4 trifold/vp415-colour300dpi-fixed_Page_094_095.webp
095,trifold,094_095,4,module,Y,circuit,CS 6 892,Video mixer module Y - circuit diagram (continued),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-3/markdown.md,A4 trifold/vp415-colour300dpi-fixed_Page_094_095.webp
096,trifold,096_097,4,module,Y,module-sheet,CS 7 860,Video mixer module Y (mod level 4) - parts,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-4/markdown.md,A4 trifold/vp415-colour300dpi-fixed_Page_096_097.webp
097,trifold,096_097,4,module,Y,pcb-layout,CS 7 860,Video mixer module Y - PCB lay-out,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-5/markdown.md,A4 trifold/vp415-colour300dpi-fixed_Page_096_097.webp
098,bifold,098,4,module,Z,module-sheet,CS 7 861,Deck electronics module Z - parts,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-6/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_098.webp
099,bifold,099,4,module,Z,circuit,CS 6 893,Deck electronics module Z - circuit diagram (laser detection unit),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-7/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_099.webp
100,bifold,100,4,module,RC,module-sheet,CS 7 862,Remote control RC53/VP410/VP415 transmitter - exploded view / PCB,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-8/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_100.webp
101,A4,101,5,divider,,divider,,Chapter 5 divider (Exploded views and parts lists),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-9/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_101.webp
102,bifold,102,5,exploded-views,,figure,CS 7 863,Exploded view - cabinet,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-10/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_102.webp
103,bifold,103,5,exploded-views,,figure,CS 7 864,Exploded view - sandwich,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-11/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_103.webp
104,bifold,104,5,exploded-views,,figure,CS 7 865,Exploded view - frontloader,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-12/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_104.webp
105,bifold,105,5,exploded-views,,figure,CS 7 866,Exploded view - disc drive,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-13/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_105.webp
106,A4,106,6,divider,,divider,,Chapter 6 divider (Repair method),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-14/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_106.webp
107,A4,107,6,repair-method,,text,CS 8 110,Repair method - title page and contents,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-15/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_107.webp
108,A4,108,6,repair-method,,text,CS 8 111,Introduction / diagnostic software,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-16/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_108.webp
109,A4,109,6,repair-method,,text,CS 8 112,Reproducing the error codes on the screen,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-17/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_109.webp
110,A4,110,6,repair-method,,text,CS 8 113,Programme loop in the self-test mode,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-18/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_110.webp
111,A4,111,6,repair-method,,table,CS 8 114,Meaning of the error codes,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-19/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_111.webp
112,A4,112,6,fault-finding,,text,CS 8 115,Fault finding - meaning of the symbols used,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-20/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_112.webp
113,A4,113,6,fault-finding,,figure,CS 8 116,Test procedure flow chart,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-21/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_113.webp
114,A4,114,6,fault-finding,,figure,CS 8 117,Fault finding chart 1 - no display,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-22/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_114.webp
115,A4,115,6,fault-finding,,figure,CS 8 118,Fault finding chart 2 - error code <60 (self test mode),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-23/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_115.webp
116,A4,116,6,fault-finding,,figure,CS 8 119,"Fault finding chart - time out tilt, laser not on, not out of focus",unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-24/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_116.webp
117,A4,117,6,fault-finding,,figure,CS 8 120,"Fault finding chart - not in focus after 5 attempts, motor speed error, frame lock",unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-25/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_117.webp
118,A4,118,7,divider,,divider,,Chapter 7 divider (Circuit description),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-26/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_118.webp
119,A4,119,5,exploded-views,,figure,CS 7 867,Exploded view - optical deck [bound after chapter 7 divider],unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-27/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_119.webp
120,A4,120,5,parts-mechanical,,table,CS 7 868,List of mechanical parts - fixing materials / optical deck,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-28/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_120.webp
121,A4,121,5,parts-mechanical,,table,CS 7 869,List of mechanical parts - disc drive / sandwich / cabinet,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-29/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_121.webp
122,A4,122,5,parts-electrical,,table,CS 7 870,List of electrical parts - remote control / integrated circuits,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-30/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_122.webp
123,A4,123,5,parts-electrical,,table,CS 7 871,List of electrical parts - transistors / diodes,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-31/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_123.webp
124,A4,124,5,parts-electrical,,table,CS 7 872,List of electrical parts - standard resistors,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-32/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_124.webp
125,A4,125,7,circuit-description,,text,CS 7 874,Circuit description - title page and contents,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-33/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_125.webp
126,A4,126,7,laservision-system,,text,CS 7 875,The LaserVision system - introduction / encoding,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-34/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_126.webp
127,A4,127,7,laservision-system,,text,CS 7 876,Lead-in / lead-out tracks / programme area,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-35/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_127.webp
128,A4,128,7,laservision-system,,text,CS 7 877,Radial tracking / time base correction / genlock,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-36/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_128.webp
129,A4,129,7,optical-deck,,figure,CS 7 878,Fig. OD1 - optical deck,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-37/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_129.webp
130,A4,130,7,optical-deck,,text,CS 7 879,The optical deck,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-38/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_130.webp
131,A4,131,7,optical-deck,,text,CS 7 880,Active tilt control (ATC),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-39/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_131.webp
132,A4,132,7,vp400-series,,text,,VP400 series - introduction / audio-video signal path,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-40/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_132.webp
133,bifold,133,7,vp400-series,,figure,CS 7 581,Fig. SP1 - audio/video signal path,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-41/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_133.webp
134,bifold,134,7,vp400-series,,figure,CS 7 882,Fig. CR1 - block diagram control routes,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-42/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_134.webp
135,A4,135,7,vp400-series,,figure,,Fig. CR2 - start-up sequence,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-43/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_135.webp
136,bifold,136,7,vp400-series,,text,CS 7 883,Control routes / S-bus / constraints on operation,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-44/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_136.webp
137,bifold,137,7,vp400-series,,figure,CS 8 123,Fig. SE1 - block diagram servo,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-45/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_137.webp
138,A4,138,7,vp400-series,,text,CS 7 884,The servo block diagram - short description,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-46/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_138.webp
139,A4,139,7,module-description,A,text,CS 7 885,Module A - audio processor,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-47/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_139.webp
140,A4,140,7,module-description,B,text,CS 7 886,Module B - RGB,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-1/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_140.webp
141,A4,141,7,module-description,C,text,CS 7 887,Module C - video processing,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-2/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_141.webp
142,A4,142,7,module-description,D,text,CS 7 888,Module D - reference source,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-3/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_142.webp
143,bifold,143,7,module-description,E,text,CS 7 889,Module E - slide drive,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-4/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_143.webp
144,bifold,144,7,module-description,F,text,CS 7 890,Module F - motor + sequence (running condition / frequency / phase control),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-5/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_144.webp
145,A4,145,7,module-description,H,text,CS 7 891,Module H - ETBC B,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-6/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_145.webp
146,A4,146,7,module-description,I,text,CS 7 892,Module I - ETBC C,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-7/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_146.webp
147,bifold,147,7,module-description,I,text,CS 7 893,Module I - ETBC C (continued),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-8/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_147.webp
148,bifold,148,7,module-description,J,text,CS 7 894,Module J - focus / Module K - HF processing,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-9/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_148.webp
149,A4,149,7,module-description,L,text,CS 7 895,Module L - video drop-out correction,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-10/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_149.webp
150,A4,150,7,module-description,M,text,CS 7 896,Module M - radial drive / Module N - display and keyboard,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-11/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_150.webp
151,bifold,151,7,module-description,P,text,CS 7 897,Module P - frontloader / Module R - drive processor,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-12/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_151.webp
152,bifold,152,7,module-description,S,text,CS 7 898,Module S - control (operation / watchdog),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-13/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_152.webp
153,A4,153,7,module-description,U,text,CS 7 899,Module Ua - analogue I/O CVBS + audio part,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-14/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_153.webp
154,A4,154,7,module-description,U,text,CS 7 900,Module Ub - analogue I/O video part,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-15/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_154.webp
155,A4,155,7,module-description,U,text,CS 7 901,Module Uc - analogue I/O TXT part,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-16/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_155.webp
156,A4,156,7,module-description,W,text,CS 7 902,Module W - data grabber and CPU,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-17/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_156.webp
157,A4,157,7,module-description,W,text,CS 7 903,Module W - header register / byte counter / RDY,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-18/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_157.webp
158,A4,158,7,module-description,W,text,CS 7 904,Module W - CPU inputs and outputs,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-19/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_158.webp
159,A4,159,7,module-description,W,text,CS 7 905,Module W - system clock / UPI-41 / SCSI interface,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-20/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_159.webp
160,A4,160,7,module-description,W,text,CS 7 906,Module W - target ID / CPU memory map / port map,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-21/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_160.webp
161,A4,161,7,module-description,X,text,CS 7 907,Module X - LV-ROM decoder,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-22/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_161.webp
162,A4,162,7,module-description,X,text,CS 7 908,Module X - LV-ROM decoder (continued),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-23/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_162.webp
163,A4,163,7,module-description,Z,text,CS 7 873,Module Z - deck electronics / laser supply,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-24/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_163.webp
164,A4,164,8,divider,,divider,,Chapter 8 divider (Service information),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-25/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_164.webp
165,A4,165,8,service-information,,text,CS 8 262,Service information VP87-01 - survey of modifications,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-26/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_165.webp
166,A4,166,8,service-information,,figure,CS 8 263,Positioning of labels,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-27/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_166.webp
167,A4,167,8,modification-levels,,table,CS 8 264,Survey of modification levels VP415,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-28/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_167.webp
168,A4,168,8,modification-levels,,table,CS 8 265,Survey of modification levels (page 2/2),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-29/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_168.webp
169,A4,169,8,modification-levels,,table,CS 8 266,Modification levels per module,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-30/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_169.webp
170,A4,170,8,modification-levels,B,table,CS 8 267,Mod levels - RGB module B,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-31/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_170.webp
171,A4,171,8,modification-levels,C,table,CS 8 268,Mod levels - video processor module C,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-32/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_171.webp
172,A4,172,8,modification-levels,F,table,CS 8 269,Mod levels - motor + sequence module F,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-33/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_172.webp
173,A4,173,8,modification-levels,G,table,CS 8 270,Mod levels - gen lock module G,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-34/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_173.webp
174,A4,174,8,modification-levels,H,table,CS 8 271,Mod levels - ETBC B module H,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-35/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_174.webp
