source_path,dest_path,origin,disposition,profile,sheet,cs_code,notes
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_134.webp,docs/circuit-description/assets/originals/cs-7-882-figure-p134.webp,sheet-map,publish,schematic,134,CS 7 882,Fig. CR1 - block diagram control routes
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_135.webp,docs/circuit-description/assets/originals/figure-p135.webp,sheet-map,publish,schematic,135,,Fig. CR2 - start-up sequence
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_136.webp,docs/circuit-description/assets/originals/cs-7-883-text-p136.webp,sheet-map,publish,schematic,136,CS 7 883,Control routes / S-bus / constraints on operation
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_137.webp,docs/circuit-description/assets/originals/cs-8-123-figure-p137.webp,sheet-map,publish,schematic,137,CS 8 123,Fig. SE1 - block diagram servo
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_138.webp,docs/circuit-description/assets/originals/cs-7-884-text-p138.webp,sheet-map,publish,text-page,138,CS 7 884,The servo block diagram - short description
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_139.webp,docs/circuit-description/assets/originals/cs-7-885-text-p139.webp,sheet-map,publish,text-page,139,CS 7 885,Module A - audio processor
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_140.webp,docs/circuit-description/assets/originals/cs-7-886-text-p140.webp,sheet-map,publish,text-page,140,CS 7 886,Module B - RGB
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_141.webp,docs/circuit-description/assets/originals/cs-7-887-text-p141.webp,sheet-map,publish,text-page,141,CS 7 887,Module C - video processing
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_142.webp,docs/circuit-description/assets/originals/cs-7-888-text-p142.webp,sheet-map,publish,text-page,142,CS 7 888,Module D - reference source
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_143.webp,docs/circuit-description/assets/originals/cs-7-889-text-p143.webp,sheet-map,publish,schematic,143,CS 7 889,Module E - slide drive
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_144.webp,docs/circuit-description/assets/originals/cs-7-890-text-p144.webp,sheet-map,publish,schematic,144,CS 7 890,Module F - motor + sequence (running condition / frequency / phase control)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_145.webp,docs/circuit-description/assets/originals/cs-7-891-text-p145.webp,sheet-map,publish,text-page,145,CS 7 891,Module H - ETBC B
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_146.webp,docs/circuit-description/assets/originals/cs-7-892-text-p146.webp,sheet-map,publish,text-page,146,CS 7 892,Module I - ETBC C
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_147.webp,docs/circuit-description/assets/originals/cs-7-893-text-p147.webp,sheet-map,publish,schematic,147,CS 7 893,Module I - ETBC C (continued)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_148.webp,docs/circuit-description/assets/originals/cs-7-894-text-p148.webp,sheet-map,publish,schematic,148,CS 7 894,Module J - focus / Module K - HF processing
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_149.webp,docs/circuit-description/assets/originals/cs-7-895-text-p149.webp,sheet-map,publish,text-page,149,CS 7 895,Module L - video drop-out correction
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_150.webp,docs/circuit-description/assets/originals/cs-7-896-text-p150.webp,sheet-map,publish,text-page,150,CS 7 896,Module M - radial drive / Module N - display and keyboard
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_151.webp,docs/circuit-description/assets/originals/cs-7-897-text-p151.webp,sheet-map,publish,schematic,151,CS 7 897,Module P - frontloader / Module R - drive processor
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_152.webp,docs/circuit-description/assets/originals/cs-7-898-text-p152.webp,sheet-map,publish,schematic,152,CS 7 898,Module S - control (operation / watchdog)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_153.webp,docs/circuit-description/assets/originals/cs-7-899-text-p153.webp,sheet-map,publish,text-page,153,CS 7 899,Module Ua - analogue I/O CVBS + audio part
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_154.webp,docs/circuit-description/assets/originals/cs-7-900-text-p154.webp,sheet-map,publish,text-page,154,CS 7 900,Module Ub - analogue I/O video part
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_155.webp,docs/circuit-description/assets/originals/cs-7-901-text-p155.webp,sheet-map,publish,text-page,155,CS 7 901,Module Uc - analogue I/O TXT part
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_156.webp,docs/circuit-description/assets/originals/cs-7-902-text-p156.webp,sheet-map,publish,text-page,156,CS 7 902,Module W - data grabber and CPU
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_157.webp,docs/circuit-description/assets/originals/cs-7-903-text-p157.webp,sheet-map,publish,text-page,157,CS 7 903,Module W - header register / byte counter / RDY
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_158.webp,docs/circuit-description/assets/originals/cs-7-904-text-p158.webp,sheet-map,publish,text-page,158,CS 7 904,Module W - CPU inputs and outputs
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_159.webp,docs/circuit-description/assets/originals/cs-7-905-text-p159.webp,sheet-map,publish,text-page,159,CS 7 905,Module W - system clock / UPI-41 / SCSI interface
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_160.webp,docs/circuit-description/assets/originals/cs-7-906-text-p160.webp,sheet-map,publish,text-page,160,CS 7 906,Module W - target ID / CPU memory map / port map
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_161.webp,docs/circuit-description/assets/originals/cs-7-907-text-p161.webp,sheet-map,publish,text-page,161,CS 7 907,Module X - LV-ROM decoder
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_162.webp,docs/circuit-description/assets/originals/cs-7-908-text-p162.webp,sheet-map,publish,text-page,162,CS 7 908,Module X - LV-ROM decoder (continued)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_163.webp,docs/circuit-description/assets/originals/cs-7-873-text-p163.webp,sheet-map,publish,text-page,163,CS 7 873,Module Z - deck electronics / laser supply
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_164.webp,docs/service-information/assets/originals/divider-p164.webp,sheet-map,publish,text-page,164,,Chapter 8 divider (Service information)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_165.webp,docs/service-information/assets/originals/cs-8-262-text-p165.webp,sheet-map,publish,text-page,165,CS 8 262,Service information VP87-01 - survey of modifications
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_166.webp,docs/service-information/assets/originals/cs-8-263-figure-p166.webp,sheet-map,publish,schematic,166,CS 8 263,Positioning of labels
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_167.webp,docs/service-information/assets/originals/cs-8-264-table-p167.webp,sheet-map,publish,text-page,167,CS 8 264,Survey of modification levels VP415
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_168.webp,docs/service-information/assets/originals/cs-8-265-table-p168.webp,sheet-map,publish,text-page,168,CS 8 265,Survey of modification levels (page 2/2)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_169.webp,docs/service-information/assets/originals/cs-8-266-table-p169.webp,sheet-map,publish,text-page,169,CS 8 266,Modification levels per module
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_170.webp,docs/service-information/assets/originals/cs-8-267-table-p170.webp,sheet-map,publish,text-page,170,CS 8 267,Mod levels - RGB module B
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_171.webp,docs/service-information/assets/originals/cs-8-268-table-p171.webp,sheet-map,publish,text-page,171,CS 8 268,Mod levels - video processor module C
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_172.webp,docs/service-information/assets/originals/cs-8-269-table-p172.webp,sheet-map,publish,text-page,172,CS 8 269,Mod levels - motor + sequence module F
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_173.webp,docs/service-information/assets/originals/cs-8-270-table-p173.webp,sheet-map,publish,text-page,173,CS 8 270,Mod levels - gen lock module G
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_174.webp,docs/service-information/assets/originals/cs-8-271-table-p174.webp,sheet-map,publish,text-page,174,CS 8 271,Mod levels - ETBC B module H
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_175.webp,docs/service-information/assets/originals/cs-8-272-table-p175.webp,sheet-map,publish,text-page,175,CS 8 272,Mod levels - ETBC-C module I
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_176.webp,docs/service-information/assets/originals/cs-8-273-table-p176.webp,sheet-map,publish,text-page,176,CS 8 273,Mod levels - focus module J
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_177.webp,docs/service-information/assets/originals/cs-8-274-table-p177.webp,sheet-map,publish,text-page,177,CS 8 274,Mod levels - HF processor module K
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_178.webp,docs/service-information/assets/originals/cs-8-275-table-p178.webp,sheet-map,publish,text-page,178,CS 8 275,Mod levels - video correction module L
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_179.webp,docs/service-information/assets/originals/cs-8-276-table-p179.webp,sheet-map,publish,text-page,179,CS 8 276,Mod levels - radial module M
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_180.webp,docs/service-information/assets/originals/cs-8-277-table-p180.webp,sheet-map,publish,text-page,180,CS 8 277,Mod levels - drive processor module R
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_181.webp,docs/service-information/assets/originals/cs-8-278-table-p181.webp,sheet-map,publish,text-page,181,CS 8 278,Mod levels - drive processor module R (continued)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_182.webp,docs/service-information/assets/originals/cs-8-279-table-p182.webp,sheet-map,publish,text-page,182,CS 8 279,Mod levels - control module S
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_183.webp,docs/service-information/assets/originals/cs-8-280-table-p183.webp,sheet-map,publish,text-page,183,CS 8 280,Mod levels - supply module T
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_184.webp,docs/service-information/assets/originals/cs-8-281-table-p184.webp,sheet-map,publish,text-page,184,CS 8 281,Mod levels - analog I/O module U
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_185.webp,docs/service-information/assets/originals/cs-8-282-table-p185.webp,sheet-map,publish,text-page,185,CS 8 282,Mod levels - video mix module Y
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_186.webp,docs/service-information/assets/originals/cs-8-283-table-p186.webp,sheet-map,publish,text-page,186,CS 8 283,Mod levels - deck electronics module Z
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_187.webp,docs/service-information/assets/originals/cs-8-284-table-p187.webp,sheet-map,publish,text-page,187,CS 8 284,Survey of software releases VP410/415
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_188.webp,docs/service-information/assets/originals/cs-8-285-text-p188.webp,sheet-map,publish,text-page,188,CS 8 285,Description of software modifications
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_189.webp,docs/service-information/assets/originals/cs-8-286-table-p189.webp,sheet-map,publish,text-page,189,CS 8 286,Software - CONTROL (on module S)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_190.webp,docs/service-information/assets/originals/cs-8-287-table-p190.webp,sheet-map,publish,text-page,190,CS 8 287,Software - SYNC (on module W)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_191.webp,docs/service-information/assets/originals/cs-8-288-table-p191.webp,sheet-map,publish,text-page,191,CS 8 288,Software - DESCRAMBLER (on module W)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_192.webp,docs/service-information/assets/originals/cs-8-289-table-p192.webp,sheet-map,publish,text-page,192,CS 8 289,Software - LV-DOS#1 + LV-DOS#2 (on module W)
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_193.webp,docs/service-information/assets/originals/cs-8-290-table-p193.webp,sheet-map,publish,text-page,193,CS 8 290,Fault symptoms and solutions
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_194.webp,docs/service-information/assets/originals/cs-8-291-table-p194.webp,sheet-map,publish,text-page,194,CS 8 291,Start-up problems
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_195.webp,docs/service-information/assets/originals/cs-8-292-table-p195.webp,sheet-map,publish,text-page,195,CS 8 292,Playability problems
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_196.webp,docs/service-information/assets/originals/cs-8-293-table-p196.webp,sheet-map,publish,text-page,196,CS 8 293,Video problems
unsorted-source-material/vp415 service manual/Original PNG/vp415-colour300dpi-fixed_Page_197.webp,docs/service-information/assets/originals/cs-8-294-table-p197.webp,sheet-map,publish,text-page,197,CS 8 294,Communication problems
unsorted-source-material/Disassembly guide/PNG/Untitled-1.png,docs/general-service/assets/originals/vp415-demount-push-out-tray.png,asset-map,publish,schematic,,,demounting / exploded view
unsorted-source-material/Disassembly guide/PNG/Untitled-2.png,docs/general-service/assets/originals/vp415-demount-upper-case-and-frontloader.png,asset-map,publish,schematic,,,demounting / exploded view
unsorted-source-material/Disassembly guide/PNG/Untitled-3.png,docs/general-service/assets/originals/vp415-demount-optical-deck.png,asset-map,publish,schematic,,,demounting / exploded view
unsorted-source-material/Disassembly guide/PNG/Untitled-4.png,docs/general-service/assets/originals/vp415-demount-analog-io-module-u.png,asset-map,publish,schematic,,,demounting / exploded view
unsorted-source-material/Disassembly guide/PNG/Untitled-5.png,docs/general-service/assets/originals/vp415-demount-sandwich.png,asset-map,publish,schematic,,,demounting / exploded view
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_102.png,docs/parts/assets/originals/exploded-cabinet-clean.png,asset-map,publish,schematic,,,cropped 2048px derivative of a manual page - the crop is editorial work worth keeping (manifest §11.2)
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_103.png,docs/parts/assets/originals/exploded-sandwich-clean.png,asset-map,publish,schematic,,,cropped 2048px derivative of a manual page - the crop is editorial work worth keeping (manifest §11.2)
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_104.png,docs/parts/assets/originals/exploded-frontloader-clean.png,asset-map,publish,schematic,,,cropped 2048px derivative of a manual page - the crop is editorial work worth keeping (manifest §11.2)
unsorted-source-material/Disassembly guide/PNG/vp415-colour300dpi-fixed_Page_105.png,docs/parts/assets/originals/exploded-disc-drive-clean.png,asset-map,publish,schematic,,,cropped 2048px derivative of a manual page - the crop is editorial work worth keeping (manifest §11.2)
unsorted-source-material/Disassembly guide/Philips-VP415-Back-panel annotated.jpg,docs/general-service/assets/originals/vp415-demount-rear-panel-screw.jpg,asset-map,publish,photo,,,demounting / exploded view
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP410_Module_S_Control.hex,docs/reference/assets/originals/firmware/Microcontroller dumps_Complete_D8041AHC_NEC_VP410_Module_S_Control.hex,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP415_Module_S_Control.hex,docs/reference/assets/originals/firmware/Microcontroller dumps_Complete_D8041AHC_NEC_VP415_Module_S_Control.hex,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/Complete/D8041AHC_NEC_VP415_Module_W_CPU.hex,docs/reference/assets/originals/firmware/Microcontroller dumps_Complete_D8041AHC_NEC_VP415_Module_W_CPU.hex,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC.pdf,docs/reference/assets/originals/datasheets/d8041ahc-nec.pdf,asset-map,download,none,,,device datasheet
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control 2.hex,docs/reference/assets/originals/firmware/Microcontroller dumps_D8041AHC_NEC_VP415_Module_S_Control 2.hex,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control 3.hex,docs/reference/assets/originals/firmware/Microcontroller dumps_D8041AHC_NEC_VP415_Module_S_Control 3.hex,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_S_Control.hex,docs/reference/assets/originals/firmware/Microcontroller dumps_D8041AHC_NEC_VP415_Module_S_Control.hex,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU 2.hex,docs/reference/assets/originals/firmware/Microcontroller dumps_D8041AHC_NEC_VP415_Module_W_CPU 2.hex,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU 3.hex,docs/reference/assets/originals/firmware/Microcontroller dumps_D8041AHC_NEC_VP415_Module_W_CPU 3.hex,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8041AHC_NEC_VP415_Module_W_CPU.hex,docs/reference/assets/originals/firmware/Microcontroller dumps_D8041AHC_NEC_VP415_Module_W_CPU.hex,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/Microcontroller dumps/D8741A.pdf,docs/reference/assets/originals/datasheets/d8741a.pdf,asset-map,download,none,,,device datasheet
unsorted-source-material/Module Z diagrams/Deck electronics potentiometer layout.png,docs/reference/calibration/assets/originals/deck-electronics-potentiometer-layout.png,asset-map,publish,photo,,,annotated potentiometer photo
unsorted-source-material/Module Z diagrams/Deck electronics potentiometer layout.pptx,docs/reference/calibration/assets/originals/deck-electronics-potentiometer-layout.pptx,asset-map,publish,none,,,editable source (manifest §11.2)
unsorted-source-material/Module Z diagrams/Deck electronics potentiometers.png,docs/reference/calibration/assets/originals/deck-electronics-potentiometers.png,asset-map,publish,photo,,,annotated potentiometer photo
unsorted-source-material/Module Z diagrams/Deck electronics potentiometers.pptx,docs/reference/calibration/assets/originals/deck-electronics-potentiometers.pptx,asset-map,publish,none,,,editable source (manifest §11.2)
unsorted-source-material/Module Z diagrams/Module Z diagrams/Focus Gain.PNG,docs/reference/calibration/assets/originals/deck-focus-gain.png,asset-map,publish,scope-trace,,,deck electronics adjustment trace
unsorted-source-material/Module Z diagrams/Module Z diagrams/Focus Radial Ratio.PNG,docs/reference/calibration/assets/originals/deck-focus-radial-ratio.png,asset-map,publish,scope-trace,,,deck electronics adjustment trace
unsorted-source-material/Module Z diagrams/Module Z diagrams/HF Amplitude.PNG,docs/reference/calibration/assets/originals/deck-hf-amplitude.png,asset-map,publish,scope-trace,,,deck electronics adjustment trace
unsorted-source-material/Module Z diagrams/Module Z diagrams/Radial Balance.PNG,docs/reference/calibration/assets/originals/deck-radial-balance.png,asset-map,publish,scope-trace,,,deck electronics adjustment trace
unsorted-source-material/Module Z diagrams/Module Z diagrams/Radial Gain.PNG,docs/reference/calibration/assets/originals/deck-radial-gain.png,asset-map,publish,scope-trace,,,deck electronics adjustment trace
unsorted-source-material/Module Z diagrams/Module Z diagrams/Tilt Offset.PNG,docs/reference/calibration/assets/originals/deck-tilt-offset.png,asset-map,publish,scope-trace,,,deck electronics adjustment trace
unsorted-source-material/Module photos/Module Layout.jpg,docs/system/assets/originals/module-layout-annotated.jpg,asset-map,publish,photo,,,annotated overhead shot naming all 18 in-situ modules
unsorted-source-material/Module photos/Module Layout.pptx,docs/system/assets/originals/module-layout-annotated.pptx,asset-map,publish,none,,,editable source of the annotations (manifest §11.2)
unsorted-source-material/Module photos/Module V diagram.jpg,docs/modules/v-module-carrier/assets/originals/module-carrier-diagram.jpg,asset-map,publish,photo,,,
unsorted-source-material/Module photos/Plug in modules/Module A - Audio Proc bottom.jpg,docs/modules/a-audio-processor/assets/originals/a-audio-processor-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module A - Audio Proc top.jpg,docs/modules/a-audio-processor/assets/originals/a-audio-processor-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module B - RGB bottom.jpg,docs/modules/b-rgb/assets/originals/b-rgb-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module B - RGB top.jpg,docs/modules/b-rgb/assets/originals/b-rgb-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module C - Video Proc bottom.jpg,docs/modules/c-video-processor/assets/originals/c-video-processor-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module C - Video Proc top.jpg,docs/modules/c-video-processor/assets/originals/c-video-processor-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module D - Ref Source bottom.jpg,docs/modules/d-reference-source/assets/originals/d-reference-source-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module D - Ref Source top.jpg,docs/modules/d-reference-source/assets/originals/d-reference-source-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module E - Slide Drive bottom.jpg,docs/modules/e-slide-drive/assets/originals/e-slide-drive-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module E - Slide Drive top.jpg,docs/modules/e-slide-drive/assets/originals/e-slide-drive-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module F - Motor bottom.jpg,docs/modules/f-motor-sequence/assets/originals/f-motor-sequence-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module F - Motor top.jpg,docs/modules/f-motor-sequence/assets/originals/f-motor-sequence-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module G - Genlock bottom.jpg,docs/modules/g-genlock/assets/originals/g-genlock-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module G - Genlock top.jpg,docs/modules/g-genlock/assets/originals/g-genlock-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module H - ETBC B bottom.jpg,docs/modules/h-etbc-b/assets/originals/h-etbc-b-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module H - ETBC B top.jpg,docs/modules/h-etbc-b/assets/originals/h-etbc-b-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module I - ETBC C bottom.jpg,docs/modules/i-etbc-c/assets/originals/i-etbc-c-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module I - ETBC C top.jpg,docs/modules/i-etbc-c/assets/originals/i-etbc-c-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module K - HF Proc bottom.jpg,docs/modules/k-hf-processor/assets/originals/k-hf-processor-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module K - HF Proc top.jpg,docs/modules/k-hf-processor/assets/originals/k-hf-processor-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module L - Video DO Corr bottom.jpg,docs/modules/l-video-dropout-correction/assets/originals/l-video-dropout-correction-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module L - Video DO Corr top.jpg,docs/modules/l-video-dropout-correction/assets/originals/l-video-dropout-correction-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module M - Radial bottom.jpg,docs/modules/m-radial/assets/originals/m-radial-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module M - Radial top.jpg,docs/modules/m-radial/assets/originals/m-radial-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module P - Front Loader bottom.jpg,docs/modules/p-frontloader/assets/originals/p-frontloader-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module P - Front Loader top.jpg,docs/modules/p-frontloader/assets/originals/p-frontloader-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module R - Drive Proc bottom.jpg,docs/modules/r-drive-processor/assets/originals/r-drive-processor-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module R - Drive Proc top.jpg,docs/modules/r-drive-processor/assets/originals/r-drive-processor-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module S - Control bottom.jpg,docs/modules/s-control/assets/originals/s-control-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module S - Control top.jpg,docs/modules/s-control/assets/originals/s-control-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module T - Supply top.jpg,docs/modules/t-supply/assets/originals/t-supply-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module U - Analog IO bottom.jpg,docs/modules/u-analog-io/assets/originals/u-analog-io-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module U - Analog IO top.jpg,docs/modules/u-analog-io/assets/originals/u-analog-io-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module W - CPU and Datagrabber bottom.jpg,docs/modules/w-cpu-data-grabber/assets/originals/w-cpu-data-grabber-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module W - CPU and Datagrabber top.jpg,docs/modules/w-cpu-data-grabber/assets/originals/w-cpu-data-grabber-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module X - LV-ROM Dec bottom.jpg,docs/modules/x-lv-rom-decoder/assets/originals/x-lv-rom-decoder-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module X - LV-ROM Dec top.jpg,docs/modules/x-lv-rom-decoder/assets/originals/x-lv-rom-decoder-top.jpg,asset-map,publish,module-photo,,,
